id,tokeniser,family,approximate,en_tokens,fa_tokens
sample-001,gpt-4 cl100k_base,gpt,False,7,15
sample-002,gpt-4 cl100k_base,gpt,False,10,26
sample-003,gpt-4 cl100k_base,gpt,False,9,20
sample-004,gpt-4 cl100k_base,gpt,False,10,22
sample-005,gpt-4 cl100k_base,gpt,False,8,22
sample-006,gpt-4 cl100k_base,gpt,False,7,23
sample-007,gpt-4 cl100k_base,gpt,False,9,23
sample-008,gpt-4 cl100k_base,gpt,False,9,30
sample-009,gpt-4 cl100k_base,gpt,False,10,28
sample-010,gpt-4 cl100k_base,gpt,False,9,26
sample-011,gpt-4 cl100k_base,gpt,False,9,31
sample-012,gpt-4 cl100k_base,gpt,False,10,27
sample-013,gpt-4 cl100k_base,gpt,False,8,24
sample-014,gpt-4 cl100k_base,gpt,False,9,27
sample-015,gpt-4 cl100k_base,gpt,False,10,33
sample-016,gpt-4 cl100k_base,gpt,False,8,18
sample-017,gpt-4 cl100k_base,gpt,False,10,24
sample-018,gpt-4 cl100k_base,gpt,False,8,38
sample-019,gpt-4 cl100k_base,gpt,False,9,34
sample-020,gpt-4 cl100k_base,gpt,False,10,17
sample-021,gpt-4 cl100k_base,gpt,False,10,28
sample-022,gpt-4 cl100k_base,gpt,False,7,16
sample-023,gpt-4 cl100k_base,gpt,False,8,30
sample-024,gpt-4 cl100k_base,gpt,False,6,22
sample-025,gpt-4 cl100k_base,gpt,False,8,26
sample-026,gpt-4 cl100k_base,gpt,False,7,23
sample-027,gpt-4 cl100k_base,gpt,False,7,18
sample-028,gpt-4 cl100k_base,gpt,False,9,23
sample-029,gpt-4 cl100k_base,gpt,False,7,22
sample-030,gpt-4 cl100k_base,gpt,False,7,20
sample-031,gpt-4 cl100k_base,gpt,False,7,22
sample-032,gpt-4 cl100k_base,gpt,False,8,23
sample-033,gpt-4 cl100k_base,gpt,False,9,36
sample-034,gpt-4 cl100k_base,gpt,False,9,27
sample-035,gpt-4 cl100k_base,gpt,False,9,22
sample-036,gpt-4 cl100k_base,gpt,False,9,25
sample-037,gpt-4 cl100k_base,gpt,False,7,24
sample-038,gpt-4 cl100k_base,gpt,False,10,26
sample-039,gpt-4 cl100k_base,gpt,False,10,24
sample-040,gpt-4 cl100k_base,gpt,False,8,24
sample-041,gpt-4 cl100k_base,gpt,False,10,50
sample-042,gpt-4 cl100k_base,gpt,False,8,20
sample-043,gpt-4 cl100k_base,gpt,False,8,24
sample-044,gpt-4 cl100k_base,gpt,False,9,36
sample-045,gpt-4 cl100k_base,gpt,False,7,24
sample-001,gpt-4o o200k_base,gpt,False,7,7
sample-002,gpt-4o o200k_base,gpt,False,10,14
sample-003,gpt-4o o200k_base,gpt,False,9,10
sample-004,gpt-4o o200k_base,gpt,False,10,10
sample-005,gpt-4o o200k_base,gpt,False,8,10
sample-006,gpt-4o o200k_base,gpt,False,7,11
sample-007,gpt-4o o200k_base,gpt,False,9,10
sample-008,gpt-4o o200k_base,gpt,False,9,13
sample-009,gpt-4o o200k_base,gpt,False,10,12
sample-010,gpt-4o o200k_base,gpt,False,9,12
sample-011,gpt-4o o200k_base,gpt,False,9,14
sample-012,gpt-4o o200k_base,gpt,False,10,12
sample-013,gpt-4o o200k_base,gpt,False,8,11
sample-014,gpt-4o o200k_base,gpt,False,9,10
sample-015,gpt-4o o200k_base,gpt,False,10,15
sample-016,gpt-4o o200k_base,gpt,False,8,10
sample-017,gpt-4o o200k_base,gpt,False,10,13
sample-018,gpt-4o o200k_base,gpt,False,8,14
sample-019,gpt-4o o200k_base,gpt,False,9,15
sample-020,gpt-4o o200k_base,gpt,False,10,10
sample-021,gpt-4o o200k_base,gpt,False,10,16
